property_type,sector,area,areaWithType,bedRoom,bathroom,balcony,facing,agePossession,super_built_up_area,built_up_area,carpet_area,servant room,store room,furnishing_type,area_room_ratio,luxury_category,floor_category,price
0.0,19.0,2217.0,1857.0,3,3,3.0,2.0,1.0,2217.0,2210.0,1720.0,1,0,0,739.0,0.0,0.0,2.35
0.0,59.0,1997.0,1702.0,3,3,4.0,2.0,0.0,1997.0,1950.0,1850.0,0,0,1,665.6666666666666,0.0,2.0,2.35
0.0,35.0,1550.0,1514.0,3,3,2.0,7.0,2.0,1777.0,1700.0,1550.0,1,0,0,516.6666666666666,2.0,0.0,2.25
0.0,6.0,1650.0,1379.0,3,3,3.0,0.0,3.0,1650.0,1300.0,1022.58,1,0,0,550.0,1.0,2.0,1.4
0.0,105.0,1375.0,1655.0,3,4,3.0,1.0,3.0,1950.0,1525.0,1375.0,1,0,1,458.3333333333333,2.0,1.0,0.86
0.0,89.0,1342.0,1161.0,2,2,2.0,4.0,3.0,1342.0,1140.0,969.0,0,1,1,671.0,2.0,2.0,0.75
0.0,83.0,1976.0,1680.0,3,3,4.0,2.0,1.0,1976.0,1900.0,1650.0,1,0,0,658.6666666666666,0.0,2.0,1.69
0.0,94.0,2092.0,1768.0,3,4,4.0,7.0,3.0,2092.0,2090.0,2087.0,1,0,2,697.3333333333334,0.0,0.0,2.25
0.0,85.0,3355.0,2131.0,4,4,4.0,2.0,1.0,3355.0,3000.0,2800.0,1,0,1,838.75,0.0,0.0,5.25
0.0,13.0,2150.0,1810.0,3,4,4.0,3.0,3.0,2150.0,1797.0,1670.0,1,0,0,716.6666666666666,1.0,2.0,1.5
0.0,76.0,3731.0,2151.0,4,4,4.0,1.0,3.0,3731.0,3500.0,3300.0,1,1,1,932.75,0.0,0.0,4.85
0.0,7.0,1361.0,1186.0,2,2,3.0,0.0,1.0,1361.0,1089.0,705.0,0,0,0,680.5,0.0,2.0,0.8
0.0,99.0,1100.0,1459.0,2,2,3.0,2.0,3.0,1741.0,1700.0,1100.0,0,0,1,550.0,0.0,2.0,1.18
0.0,99.0,1150.0,1370.0,2,2,3.0,7.0,3.0,1640.0,1600.0,1150.0,0,0,0,575.0,0.0,2.0,1.1
0.0,100.0,1929.0,1623.0,3,3,4.0,2.0,3.0,1929.0,1500.0,1300.0,0,0,2,643.0,0.0,0.0,1.55
0.0,97.0,1600.0,1924.0,4,4,3.0,6.0,3.0,2390.0,2000.0,1600.0,1,0,0,400.0,2.0,2.0,1.42
0.0,76.0,1837.0,1567.0,3,2,3.0,2.0,3.0,1837.0,1700.0,1600.0,1,0,1,612.3333333333334,0.0,2.0,2.4
0.0,8.0,2290.0,1874.0,3,4,4.0,1.0,3.0,2290.0,2000.0,1750.0,1,0,0,763.3333333333334,0.0,2.0,1.83
0.0,89.0,2025.0,1735.0,3,3,3.0,2.0,1.0,2025.0,1600.0,1548.0,1,0,1,675.0,1.0,1.0,1.79
0.0,10.0,1385.0,1215.0,2,2,4.0,1.0,3.0,1385.0,940.0,845.0,0,0,0,692.5,1.0,1.0,0.95
0.0,105.0,1540.0,1421.0,3,3,3.0,5.0,3.0,1702.0,1640.0,1540.0,0,0,0,513.3333333333334,0.0,2.0,1.25
0.0,94.0,2103.0,1781.0,3,3,4.0,2.0,3.0,2103.0,1600.0,1257.0,1,0,2,701.0,1.0,0.0,2.25
0.0,12.0,1283.0,1131.0,2,3,3.0,4.0,3.0,1283.0,978.23,734.43,1,0,0,641.5,2.0,1.0,0.9
0.0,91.0,1490.0,1279.0,3,3,3.0,0.0,3.0,1490.0,1176.0,863.91,0,1,1,496.6666666666667,2.0,0.0,1.3
0.0,36.0,950.0,2289.0,2,2,2.0,2.0,2.0,950.0,900.0,744.0,0,0,0,475.0,2.0,1.0,0.58
0.0,70.0,2019.0,1747.0,3,4,4.0,2.0,0.0,2045.0,2037.0,2019.0,1,0,1,673.0,0.0,2.0,2.65
0.0,65.0,2000.0,1712.0,3,3,4.0,4.0,2.0,2000.0,1900.0,1800.0,1,0,0,666.6666666666666,0.0,2.0,1.45
0.0,10.0,1034.0,1399.0,3,3,3.0,3.0,3.0,1665.0,1145.0,1034.0,0,0,0,344.6666666666667,0.0,0.0,1.2
0.0,17.0,2950.0,2087.0,4,5,4.0,2.0,3.0,2950.0,2700.0,2500.0,1,0,1,737.5,1.0,2.0,3.5
0.0,99.0,1671.0,1405.0,2,2,3.0,0.0,3.0,1671.0,1660.0,1650.0,0,0,0,835.5,1.0,0.0,1.17
0.0,107.0,1050.0,1152.0,3,2,2.0,0.0,1.0,1326.0,1298.0,1050.0,0,0,0,350.0,2.0,2.0,0.75
0.0,10.0,1764.0,1495.0,3,4,4.0,3.0,3.0,1760.0,1186.0,1130.0,1,0,0,588.0,1.0,0.0,1.13
0.0,10.0,1850.0,1899.0,4,4,4.0,2.0,3.0,2355.0,2100.0,1850.0,1,0,1,462.5,0.0,0.0,1.35
0.0,97.0,1980.0,1683.0,3,3,2.0,4.0,3.0,1980.0,1350.0,1308.0,1,1,1,660.0,0.0,2.0,1.15
0.0,99.0,2398.0,1942.0,3,4,3.0,7.0,3.0,2408.0,2399.0,2398.0,0,1,0,799.3333333333334,0.0,0.0,1.98
0.0,6.0,3198.0,2120.0,4,5,4.0,2.0,3.0,3198.0,2600.0,2350.0,1,0,1,799.5,0.0,2.0,2.5
0.0,94.0,4200.0,2172.0,4,4,4.0,6.0,3.0,4200.0,3850.0,3600.0,1,0,1,1050.0,1.0,2.0,4.45
0.0,6.0,2025.0,1736.0,3,4,4.0,2.0,3.0,2025.0,1750.0,1600.0,1,0,1,675.0,0.0,2.0,1.7
0.0,45.0,1365.0,1191.0,2,2,3.0,1.0,0.0,1365.0,1068.1,900.0,0,0,1,682.5,2.0,1.0,0.78
0.0,99.0,1640.0,1366.0,2,2,3.0,2.0,1.0,1640.0,1200.0,1125.0,1,1,1,820.0,0.0,2.0,1.08
0.0,99.0,2408.0,1940.0,3,4,3.0,7.0,3.0,2408.0,2300.0,2200.0,0,0,0,802.6666666666666,1.0,2.0,1.98
0.0,19.0,2217.0,1854.0,3,4,4.0,2.0,3.0,2217.0,1940.0,1730.0,1,0,0,739.0,1.0,2.0,2.4
0.0,89.0,1342.0,1162.0,2,2,2.0,2.0,3.0,1342.0,1180.0,1050.0,0,0,1,671.0,0.0,2.0,0.75
